Date,Time ,X,Y,Z
2023-02-25 18:54:25.455,"Time: 71 ms, ",17.61,-100.1,-12.19
2023-02-25 18:54:25.459,"Time: 70 ms, ",17.75,-100.1,-12.16
2023-02-25 18:54:25.460,"Time: 71 ms, ",17.71,-100.05,-12.24
2023-02-25 18:54:25.461,"Time: 71 ms, ",17.69,-100.09,-12.26
2023-02-25 18:54:25.461,"Time: 71 ms, ",17.61,-100.05,-12.24
2023-02-25 18:54:25.462,"Time: 70 ms, ",17.64,-100.04,-12.26
2023-02-25 18:54:25.612,"Time: 71 ms, ",17.64,-100,-12.22
2023-02-25 18:54:25.657,"Time: 71 ms, ",17.65,-100.06,-12.26
2023-02-25 18:54:25.658,"Time: 70 ms, ",17.74,-100.09,-12.07
2023-02-25 18:54:25.660,"Time: 71 ms, ",17.54,-100.1,-12.26
2023-02-25 18:54:25.708,"Time: 71 ms, ",17.6,-100.05,-12.34
2023-02-25 18:54:25.780,"Time: 71 ms, ",17.64,-99.98,-12.24
2023-02-25 18:54:25.850,"Time: 70 ms, ",17.7,-100.05,-12.26
2023-02-25 18:54:25.921,"Time: 71 ms, ",17.66,-100.01,-12.24
2023-02-25 18:54:25.992,"Time: 71 ms, ",17.76,-100.01,-12.21
2023-02-25 18:54:26.062,"Time: 70 ms, ",17.74,-100.1,-12.29
2023-02-25 18:54:26.133,"Time: 71 ms, ",17.68,-100.11,-12.21
2023-02-25 18:54:26.204,"Time: 71 ms, ",17.64,-100.02,-12.34
2023-02-25 18:54:26.274,"Time: 71 ms, ",17.66,-100.06,-12.35
2023-02-25 18:54:26.345,"Time: 70 ms, ",17.63,-100.11,-12.28
2023-02-25 18:54:26.416,"Time: 71 ms, ",17.8,-100.09,-12.34
2023-02-25 18:54:26.487,"Time: 71 ms, ",17.71,-100.1,-12.34
2023-02-25 18:54:26.557,"Time: 71 ms, ",17.74,-100.11,-12.24
2023-02-25 18:54:26.628,"Time: 70 ms, ",17.59,-100.09,-12.22
2023-02-25 18:54:26.699,"Time: 71 ms, ",17.69,-100.09,-12.27
2023-02-25 18:54:26.770,"Time: 71 ms, ",17.69,-100.12,-12.22
2023-02-25 18:54:26.840,"Time: 70 ms, ",17.65,-100.1,-12.29
2023-02-25 18:54:26.911,"Time: 71 ms, ",17.76,-100.09,-12.33
2023-02-25 18:54:26.982,"Time: 71 ms, ",17.64,-100.09,-12.26
