Date,Time ,X,Y,Z
2023-02-25 18:36:14.426,"Time: 70 ms, ",16.06,-100.11,-13.82
2023-02-25 18:36:14.432,"Time: 71 ms, ",16.3,-99.99,-14.07
2023-02-25 18:36:14.434,"Time: 71 ms, ",16.28,-99.82,-14.81
2023-02-25 18:36:14.436,"Time: 71 ms, ",16.48,-100.02,-13.82
2023-02-25 18:36:14.437,"Time: 70 ms, ",16.04,-100.11,-14.32
2023-02-25 18:36:14.438,"Time: 71 ms, ",15.89,-100.16,-14.31
2023-02-25 18:36:14.585,"Time: 71 ms, ",15.78,-100.11,-14.15
2023-02-25 18:36:14.645,"Time: 71 ms, ",16.41,-100.15,-14.09
2023-02-25 18:36:14.647,"Time: 70 ms, ",16.11,-99.13,-14.89
2023-02-25 18:36:14.663,"Time: 71 ms, ",15.98,-100.02,-14.73
2023-02-25 18:36:14.686,"Time: 71 ms, ",16.22,-100.05,-13.82
2023-02-25 18:36:14.740,"Time: 71 ms, ",16.13,-100.1,-14.28
2023-02-25 18:36:14.810,"Time: 71 ms, ",15.89,-100.07,-15.53
2023-02-25 18:36:14.881,"Time: 70 ms, ",16.26,-99.89,-13.99
2023-02-25 18:36:14.952,"Time: 71 ms, ",16.1,-99.98,-14.86
2023-02-25 18:36:15.022,"Time: 71 ms, ",16.22,-100.04,-14.34
2023-02-25 18:36:15.093,"Time: 71 ms, ",16.21,-100.09,-13.73
2023-02-25 18:36:15.164,"Time: 70 ms, ",16.36,-100.7,-11.15
2023-02-25 18:36:15.235,"Time: 71 ms, ",15.63,-100.2,-17.3
2023-02-25 18:36:15.306,"Time: 71 ms, ",15.91,-100.05,-15.32
2023-02-25 18:36:15.377,"Time: 71 ms, ",15.86,-100.4,-15.11
2023-02-25 18:36:15.448,"Time: 70 ms, ",13.9,-99.91,-15.93
2023-02-25 18:36:15.575,"Time: 71 ms, ",16.32,-99.33,-7.31
2023-02-25 18:36:15.631,"Time: 71 ms, ",14.73,-102.05,-11.66
2023-02-25 18:36:15.661,"Time: 71 ms, ",14.05,-100.93,-23.77
2023-02-25 18:36:15.730,"Time: 71 ms, ",14.59,-101.2,-14.75
2023-02-25 18:36:15.801,"Time: 70 ms, ",19.79,-98.77,-12.27
2023-02-25 18:36:15.872,"Time: 71 ms, ",17.22,-98.82,-12.33
2023-02-25 18:36:15.943,"Time: 71 ms, ",14.71,-98.71,-15.36
2023-02-25 18:36:16.013,"Time: 71 ms, ",14.94,-100.1,-23.33
2023-02-25 18:36:16.084,"Time: 70 ms, ",16.1,-102.12,-6.04
2023-02-25 18:36:16.155,"Time: 71 ms, ",16.97,-100.93,-18.91
2023-02-25 18:36:16.226,"Time: 71 ms, ",16.71,-97.08,-5.68
2023-02-25 18:36:16.296,"Time: 71 ms, ",12.66,-97.75,-19.78
2023-02-25 18:36:16.367,"Time: 70 ms, ",16.53,-99.48,-26.79
2023-02-25 18:36:16.438,"Time: 71 ms, ",17.66,-99.12,-15.28
2023-02-25 18:36:16.509,"Time: 71 ms, ",14.59,-99.56,-14.49
2023-02-25 18:36:16.579,"Time: 70 ms, ",15.87,-99.1,-7.84
2023-02-25 18:36:16.650,"Time: 71 ms, ",37.72,-93.81,22.69
2023-02-25 18:36:16.721,"Time: 71 ms, ",17.18,-101.73,-12.28
2023-02-25 18:36:16.792,"Time: 71 ms, ",16.16,-101.62,-15.14
2023-02-25 18:36:16.862,"Time: 70 ms, ",16.15,-100.37,-13.87
2023-02-25 18:36:16.933,"Time: 71 ms, ",13.87,-102.93,-14.82
2023-02-25 18:36:17.004,"Time: 71 ms, ",15.56,-100.33,-8.84
2023-02-25 18:36:17.074,"Time: 71 ms, ",13.65,-100.67,-29.97
2023-02-25 18:36:17.145,"Time: 70 ms, ",18.96,-99.02,-0.93
2023-02-25 18:36:17.216,"Time: 71 ms, ",16.65,-101.45,-8.9
2023-02-25 18:36:17.287,"Time: 71 ms, ",13.82,-100.67,-28.47
2023-02-25 18:36:17.357,"Time: 71 ms, ",12.54,-98.06,-16.09
2023-02-25 18:36:17.428,"Time: 70 ms, ",16.71,-101.33,-10.56
2023-02-25 18:36:17.499,"Time: 71 ms, ",19.43,-99.07,-14.99
2023-02-25 18:36:17.570,"Time: 71 ms, ",16.82,-100.34,-11.78
2023-02-25 18:36:17.645,"Time: 71 ms, ",14.65,-100.88,-23.17
2023-02-25 18:36:17.711,"Time: 70 ms, ",18.04,-102.42,-4.47
2023-02-25 18:36:17.782,"Time: 71 ms, ",14.12,-103.43,-16.7
2023-02-25 18:36:17.853,"Time: 71 ms, ",17.03,-98.62,-15.94
2023-02-25 18:36:17.924,"Time: 71 ms, ",16.71,-102.04,-11.12
2023-02-25 18:36:17.995,"Time: 70 ms, ",16.75,-96.22,-18.12
2023-02-25 18:36:18.065,"Time: 71 ms, ",18.77,-98.3,-9.69
2023-02-25 18:36:18.135,"Time: 71 ms, ",14.66,-100.11,-18.48
2023-02-25 18:36:18.206,"Time: 71 ms, ",17.94,-96.89,-12.48
2023-02-25 18:36:18.278,"Time: 70 ms, ",16.25,-99.04,-21.72
2023-02-25 18:36:18.348,"Time: 71 ms, ",18.54,-99.79,-11.76
2023-02-25 18:36:18.419,"Time: 71 ms, ",17.5,-98.14,-18.03
2023-02-25 18:36:18.490,"Time: 71 ms, ",16.93,-100.88,-19.08
2023-02-25 18:36:18.560,"Time: 71 ms, ",15.88,-98.05,-15.2
2023-02-25 18:36:18.632,"Time: 70 ms, ",16.91,-100.5,-11.51
2023-02-25 18:36:18.702,"Time: 71 ms, ",17.44,-99.77,-12.67
2023-02-25 18:36:18.773,"Time: 71 ms, ",14.59,-101.4,-18.76
2023-02-25 18:36:18.843,"Time: 71 ms, ",16.06,-103.16,-17.11
2023-02-25 18:36:18.914,"Time: 70 ms, ",16.38,-96.42,-14.53
2023-02-25 18:36:18.985,"Time: 71 ms, ",16.46,-99.22,-7.6
2023-02-25 18:36:19.056,"Time: 71 ms, ",16.78,-104.02,-20.96
2023-02-25 18:36:19.127,"Time: 71 ms, ",15.36,-100.74,-13.29
2023-02-25 18:36:19.197,"Time: 71 ms, ",16.04,-98.19,-15.11
2023-02-25 18:36:19.268,"Time: 70 ms, ",17.26,-101.18,-7.64
2023-02-25 18:36:19.339,"Time: 71 ms, ",16,-104.06,-20.57
2023-02-25 18:36:19.410,"Time: 71 ms, ",18.42,-101.22,-11
2023-02-25 18:36:19.481,"Time: 71 ms, ",14.39,-99.46,-16.26
2023-02-25 18:36:19.552,"Time: 71 ms, ",15.49,-102.56,-17.77
2023-02-25 18:36:19.622,"Time: 70 ms, ",16.97,-101.09,-2.33
2023-02-25 18:36:19.693,"Time: 71 ms, ",16.27,-95.12,-20.07
2023-02-25 18:36:19.764,"Time: 71 ms, ",17.86,-100.18,-16.21
2023-02-25 18:36:19.834,"Time: 71 ms, ",18.15,-98.27,-9.85
2023-02-25 18:36:19.905,"Time: 70 ms, ",15.44,-99.84,-23.29
2023-02-25 18:36:19.976,"Time: 71 ms, ",19.45,-97.97,-8.91
2023-02-25 18:36:20.047,"Time: 71 ms, ",20.1,-101.82,-5.82
2023-02-25 18:36:20.117,"Time: 71 ms, ",13.67,-101.51,-28.17
2023-02-25 18:36:20.188,"Time: 70 ms, ",17.1,-100.33,-16.78
2023-02-25 18:36:20.259,"Time: 71 ms, ",17.82,-99.33,0.45
2023-02-25 18:36:20.330,"Time: 71 ms, ",15.31,-98.12,-31.6
2023-02-25 18:36:20.401,"Time: 71 ms, ",18.87,-98.06,-8.28
2023-02-25 18:36:20.471,"Time: 70 ms, ",15.5,-102.45,-13.76
2023-02-25 18:36:20.542,"Time: 71 ms, ",15.71,-97.09,-23.07
2023-02-25 18:36:20.613,"Time: 71 ms, ",17.29,-99.46,-12.33
2023-02-25 18:36:20.683,"Time: 71 ms, ",15.65,-97.4,-16.76
2023-02-25 18:36:20.754,"Time: 70 ms, ",17.93,-99.68,-10.97
2023-02-25 18:36:20.825,"Time: 71 ms, ",12.24,-105.57,-13.82
2023-02-25 18:36:20.896,"Time: 71 ms, ",15.21,-102.66,-15.15
2023-02-25 18:36:20.967,"Time: 71 ms, ",13.7,-104.19,-8.85
2023-02-25 18:36:21.037,"Time: 70 ms, ",17.91,-98.68,-20.53
2023-02-25 18:36:21.108,"Time: 71 ms, ",19.73,-99.16,-10.95
2023-02-25 18:36:21.179,"Time: 71 ms, ",15.12,-97.5,-17.2
2023-02-25 18:36:21.250,"Time: 71 ms, ",14.55,-102.32,-18.43
2023-02-25 18:36:21.321,"Time: 70 ms, ",17.32,-98.8,-12.76
2023-02-25 18:36:21.391,"Time: 71 ms, ",15.21,-98.97,-13.31
2023-02-25 18:36:21.462,"Time: 71 ms, ",16.11,-100.83,-14.9
2023-02-25 18:36:21.533,"Time: 71 ms, ",16.5,-97.69,-12.95
2023-02-25 18:36:21.604,"Time: 70 ms, ",16.16,-100,-10.97
2023-02-25 18:36:21.674,"Time: 71 ms, ",15.32,-100.05,-18.57
2023-02-25 18:36:21.745,"Time: 71 ms, ",16.14,-100.49,-7.84
2023-02-25 18:36:21.816,"Time: 71 ms, ",14.88,-101.45,-18.65
2023-02-25 18:36:21.887,"Time: 71 ms, ",15.76,-99.37,-13.04
